City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
175,Bradford,GB,53.7939,-1.7521,45.48,89,40,19.57,scattered clouds
176,Gallup,US,35.5281,-108.7426,44.44,34,0,1.01,clear sky
177,Lumberton,US,34.6182,-79.0086,57.51,51,0,4.61,clear sky
178,South Lake Tahoe,US,38.9332,-119.9844,50.25,46,0,5.75,clear sky
179,Warrensburg,US,38.7628,-93.7361,28.22,51,100,16.11,overcast clouds
180,Altus,US,34.6381,-99.334,53.67,24,0,12.66,clear sky
181,San Benito,US,36.6166,-121.0844,56.93,49,100,6.24,overcast clouds
182,Santa Rosalia,MX,27.3167,-112.2833,66.2,42,25,7.11,scattered clouds
183,Nacozari,MX,25.3366,-108.2574,72.03,59,91,14.94,light rain
184,Kuna,US,43.4918,-116.4201,54.84,29,0,18.41,clear sky
185,Menasha,US,44.2022,-88.4465,25.48,49,40,14.97,scattered clouds
186,Wilmington,US,34.2257,-77.9447,54.95,79,95,1.01,overcast clouds
187,Cody,US,44.5263,-109.0565,43.2,32,0,18.41,clear sky
188,Eunice,US,30.4944,-92.4176,52.0,60,100,8.03,overcast clouds
189,Muncie,US,40.1934,-85.3864,20.5,78,100,11.01,overcast clouds
190,Grants,US,35.1473,-107.8514,41.23,33,100,10.36,overcast clouds
191,Valle De Allende,MX,26.9333,-105.4,45.45,66,87,18.07,overcast clouds
192,Vernon,CA,50.2581,-119.2691,55.92,37,82,4.0,broken clouds
193,Rosarito,MX,32.3333,-117.0333,74.62,53,37,5.99,scattered clouds
194,Greeneville,US,36.1632,-82.831,41.88,50,86,3.0,overcast clouds
195,San Luis,AR,-33.295,-66.3356,76.28,44,47,5.28,scattered clouds
196,Kincardine,GB,56.0667,-3.7167,45.19,89,90,5.99,overcast clouds
197,Belle Fourche,US,44.6714,-103.8522,40.51,36,0,4.14,clear sky
198,Olean,US,42.0776,-78.4297,27.28,79,100,6.91,overcast clouds
199,Craig,US,40.5153,-107.5464,25.39,54,0,3.44,clear sky
200,Santa Catarina De Tepehuanes,MX,25.35,-105.7333,58.46,48,63,21.12,broken clouds
201,Maryville,US,35.7565,-83.9705,46.6,48,40,10.36,scattered clouds
202,Warrington,GB,53.3925,-2.5802,45.86,85,40,11.5,scattered clouds
203,Greenville,US,35.6127,-77.3663,55.56,60,0,0.0,clear sky
204,Twin Falls,US,42.3505,-114.6445,46.92,31,0,13.8,clear sky
205,Tucumcari,US,35.1717,-103.725,46.94,25,44,4.63,scattered clouds
206,Mason City,US,43.1536,-93.201,21.18,72,0,25.32,clear sky
207,Newark,US,40.7357,-74.1724,49.24,33,0,18.41,clear sky
208,Johnstown,US,40.3267,-78.922,33.31,58,100,14.97,overcast clouds
209,Beeville,US,28.4008,-97.7483,46.98,76,100,0.0,overcast clouds
210,Owosso,US,42.9978,-84.1766,23.14,64,40,20.71,scattered clouds
211,Hailey,US,43.5196,-114.3153,38.89,66,100,5.01,overcast clouds
212,Beech Grove,US,39.722,-86.09,22.21,72,100,20.71,overcast clouds
213,Rio Muerto,MX,27.4167,-110.2333,71.06,37,97,12.48,overcast clouds
214,Pueblo,US,38.2545,-104.6091,48.15,15,0,1.99,clear sky
215,Port Lavaca,US,28.615,-96.6261,52.3,76,100,8.05,overcast clouds
216,Bartlesville,US,36.7473,-95.9808,40.95,31,0,7.0,clear sky
217,Watertown,US,42.3709,-71.1828,48.06,42,0,11.5,clear sky
218,Ledyard,US,41.4398,-72.0142,45.52,54,0,10.36,clear sky
219,Key Largo,US,25.0865,-80.4473,78.8,84,10,1.3,clear sky
220,Santa Maria Del Oro,MX,25.9333,-105.3667,53.53,71,97,17.49,moderate rain
221,Dodge City,US,37.7528,-100.0171,39.94,22,0,18.41,clear sky
222,Mapimi,MX,25.8167,-103.85,60.85,45,80,10.51,light rain
223,Hope,US,33.6671,-93.5916,55.45,47,98,9.82,overcast clouds
224,Clarksburg,US,39.2807,-80.3445,36.05,60,94,13.04,overcast clouds
225,Macon,US,39.8667,-88.9668,22.86,68,100,13.8,overcast clouds
226,Shawnee,US,39.05,-95.7669,31.86,50,100,21.85,overcast clouds
227,Mount Pleasant,US,32.7941,-79.8626,59.05,59,100,13.8,overcast clouds
228,Alamosa,US,37.4695,-105.87,35.58,25,0,0.0,clear sky
229,Esqueda,MX,30.7167,-109.5833,59.43,30,81,16.26,broken clouds
230,Punta Gorda,US,26.9298,-82.0454,77.18,90,99,8.99,overcast clouds
231,Chanute,US,37.6792,-95.4572,35.71,35,100,17.27,overcast clouds
232,Rapid City,US,44.0805,-103.231,38.5,34,0,10.0,clear sky
233,Tooele,US,40.5308,-112.2983,47.32,22,0,9.22,clear sky
234,Belen,TR,36.4891,36.2233,42.94,100,75,4.61,broken clouds
235,Fayetteville,US,35.0527,-78.8784,57.72,43,0,11.5,clear sky
236,Beamsville,CA,43.1668,-79.4829,25.65,70,99,13.8,overcast clouds
237,Boulder,US,40.0833,-105.3505,40.51,21,0,4.61,clear sky
238,Florence,IT,43.7667,11.25,54.23,82,75,3.44,broken clouds
