City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
258,Freeport,US,50.36,40.6576,-73.5832,broken clouds,
261,Ensenada,MX,63.95,31.8667,-116.6167,scattered clouds,
262,Owasso,US,43.72,36.2695,-95.8547,few clouds,
263,Andros Town,BS,76.96,24.7,-77.7667,scattered clouds,
264,Snyder,US,52.14,32.7179,-100.9176,clear sky,
265,Jacksonville,US,54.03,30.3322,-81.6556,overcast clouds,
267,Cananea,MX,55.2,30.95,-110.3,broken clouds,
269,Elwood,AU,66.33,-37.8817,144.983,overcast clouds,
270,Bakersfield,US,73.98,35.3733,-119.0187,clear sky,
271,Lovington,US,49.05,32.944,-103.3485,overcast clouds,
272,Bedford,GB,49.71,52.1346,-0.4663,broken clouds,
273,Apple Valley,US,66.9,34.5008,-117.1859,broken clouds,
277,Ruston,US,53.42,32.5232,-92.6379,overcast clouds,
278,West Plains,US,32.92,36.7281,-91.8524,clear sky,
279,Camargo,MX,40.35,27.6667,-105.1667,overcast clouds,
280,Orange Cove,US,69.8,36.6244,-119.3137,clear sky,
281,Sterling,US,50.0,39.0062,-77.4286,few clouds,
282,Livingston,GB,43.48,55.9029,-3.5226,scattered clouds,
284,Atlantic Beach,US,54.05,30.3344,-81.3987,overcast clouds,
285,Dumas,US,46.62,35.8656,-101.9732,clear sky,
287,Jimenez,MX,38.14,28.3333,-105.4,light rain,
288,Lamar,US,48.36,33.6668,-95.5836,clear sky,
289,Fort Morgan,US,41.65,40.2503,-103.8,clear sky,
290,Bernalillo,US,50.32,35.05,-106.6673,broken clouds,
291,Republic,US,31.12,37.12,-93.4802,scattered clouds,
292,North Las Vegas,US,66.18,36.1989,-115.1175,clear sky,
293,Fort Carson,US,43.45,38.7375,-104.7889,overcast clouds,
294,Kingsville,US,50.18,27.5159,-97.8561,overcast clouds,
295,Okmulgee,US,43.09,35.6234,-95.9605,clear sky,
296,Price,US,44.11,39.5994,-110.8107,clear sky,
297,Lewisville,US,53.94,33.0462,-96.9942,clear sky,
298,Casa Grande,US,73.4,32.8795,-111.7573,clear sky,
299,Guadalupe Y Calvo,MX,44.76,26.1,-106.9667,light rain,
300,Nazareno,MX,61.5,25.3833,-103.4167,light rain,
301,Topeka,US,31.78,39.0483,-95.678,overcast clouds,
302,San Antonio,US,49.55,29.4241,-98.4936,light rain,
303,Guerrero,MX,77.29,17.6667,-100.0,scattered clouds,
304,Parsons,US,36.86,37.3403,-95.2611,scattered clouds,
305,Highland Springs,US,51.39,37.546,-77.3278,clear sky,
306,Puerto Palomas,MX,51.76,31.7667,-107.6167,broken clouds,
307,La Marque,US,55.36,29.3686,-94.9713,overcast clouds,
308,Bustamante,MX,48.45,26.5333,-100.5,overcast clouds,
310,Albertville,US,45.64,34.2676,-86.2089,clear sky,
311,Salina,US,35.73,38.8403,-97.6114,scattered clouds,
313,Christiansburg,US,41.47,37.1298,-80.4089,scattered clouds,
314,Plainview,US,49.86,40.7765,-73.4673,broken clouds,
315,Altar,MX,73.83,30.7,-111.8167,few clouds,
316,Staunton,US,42.89,38.1496,-79.0717,clear sky,
318,Wilmington Island,US,59.09,32.0036,-80.9737,broken clouds,
319,Potam,MX,70.36,27.6,-110.3833,overcast clouds,
321,Taos,US,34.2,36.4072,-105.5731,snow,
322,San Felipe,VE,68.9,10.3399,-68.7425,few clouds,
323,Pineville,US,51.73,31.3224,-92.4343,clear sky,
324,Madison,US,47.62,34.7334,-86.5667,few clouds,
325,Dunn,US,27.16,44.95,-91.8835,clear sky,
326,North Platte,US,33.69,41.1239,-100.7654,clear sky,
327,Palestine,PS,49.46,31.9216,35.2033,broken clouds,
328,Altamont,US,53.44,42.2068,-121.7372,clear sky,
329,Fort Smith,US,44.64,35.3859,-94.3986,clear sky,
330,Bellevue,US,69.15,47.6104,-122.2007,clear sky,
332,Truth Or Consequences,US,48.9,33.1284,-107.2528,overcast clouds,
333,San Buenaventura,MX,52.72,27.0833,-101.5333,broken clouds,
334,Midland,US,53.8,31.9974,-102.0779,clear sky,
335,Grand Junction,US,49.08,39.0639,-108.5507,clear sky,
336,Minas De Barroteran,MX,41.99,27.6333,-101.2833,overcast clouds,
337,Cedartown,US,48.38,34.0537,-85.255,broken clouds,
338,Hutchinson,US,35.55,38.0608,-97.9298,few clouds,
339,Naco,MX,60.89,31.3347,-109.9483,scattered clouds,
340,Gadsden,US,50.23,34.0143,-86.0066,clear sky,
341,Dover,US,48.99,39.1582,-75.5244,clear sky,
342,Brenham,US,53.51,30.1669,-96.3977,overcast clouds,
343,Riverton,US,50.49,40.5219,-111.9391,clear sky,
344,Carbondale,US,32.0,37.7273,-89.2168,scattered clouds,
347,Leander,US,53.29,30.5788,-97.8531,clear sky,
348,Baton Rouge,US,52.12,30.4508,-91.1545,overcast clouds,
349,Cleburne,US,54.03,32.3476,-97.3867,clear sky,
350,Sun City West,US,74.23,33.662,-112.3413,scattered clouds,
351,Monclova,MX,45.05,26.9,-101.4167,overcast clouds,
352,Rodeo,US,67.24,38.033,-122.2669,clear sky,
353,Laredo,US,46.69,27.5064,-99.5075,overcast clouds,
354,Evansville,US,30.2,37.9748,-87.5558,overcast clouds,
355,Conyers,US,50.45,33.6676,-84.0177,clear sky,
356,Russellville,US,44.74,35.2784,-93.1338,clear sky,
357,Ruidoso,US,37.76,33.3317,-105.673,overcast clouds,
358,Rockingham,US,46.71,42.9668,-71.0995,broken clouds,
359,Kinston,US,55.58,35.2627,-77.5816,clear sky,
360,Galveston,US,55.36,29.3669,-94.9669,overcast clouds,
361,Rock Sound,BS,76.06,24.9,-76.2,clear sky,
362,Edgewater,US,70.03,28.9889,-80.9023,overcast clouds,
365,Fernley,US,59.86,39.608,-119.2518,broken clouds,
366,Enid,US,42.98,36.3956,-97.8784,clear sky,
367,Laramie,US,33.53,41.3114,-105.5911,clear sky,
368,Centralia,US,67.86,46.7162,-122.9543,clear sky,
369,Council Bluffs,US,27.32,41.2619,-95.8608,scattered clouds,
370,Ada,US,52.68,43.4166,-116.1262,clear sky,
371,General Cepeda,MX,45.07,25.3833,-101.45,overcast clouds,
372,Cullman,US,47.8,34.1748,-86.8436,clear sky,
373,Harrisonville,US,29.28,38.6533,-94.3488,overcast clouds,
374,Madera,US,68.09,37.1666,-119.8343,overcast clouds,
376,Lampazos De Naranjo,MX,45.32,27.0167,-100.5167,overcast clouds,
377,Elko,US,41.02,41.0002,-115.5012,clear sky,
378,Canon City,US,45.18,38.441,-105.2424,broken clouds,
379,Spring Hill,US,68.23,28.4769,-82.5255,broken clouds,
380,Canandaigua,US,30.33,42.8742,-77.288,overcast clouds,
381,Benjamin Hill,MX,71.64,30.1667,-111.1,broken clouds,
